Repositorio,Homepage,URLs_Analisadas,URLs_Sucesso,Status,Score_Acessibilidade,Score_Display,Total_Violacoes,Total_Warnings,Violacoes_Nivel_A,Violacoes_Nivel_AA,Violacoes_Nivel_AAA,Violacoes_Best_Practice,Violacoes_Experimental,Violacoes_Deprecated,Violacoes_Indefinido,Performance_Score,Best_Practices_Score,SEO_Score
yashksaini-coder/LC-Dashboard,https://lc-dashboard.vercel.app,1,1,SUCCESS,0.94,94,1,0,0,1,0,0,0,0,0,0,0,0
manju1807/TeamPulse,https://teampulse18.netlify.app/,1,0,ERROR,,,,,,,,,,,,,,
Aadarsh-max/Expense-Tracker,https://expense-tracker-gamma-dun.vercel.app,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
naumanch969/swiftcart-dashboard,https://swiftcart-dashboard.vercel.app,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Guten-Morgen1302/Social-Media-Dashboard,https://social-sync-dashboard.vercel.app,1,1,SUCCESS,0.95,95,1,0,0,1,0,0,0,0,0,0,0,0
waynesutton/todohosted,https://syncengine.dev/,1,0,ERROR,,,,,,,,,,,,,,
pelican-dev/panel,https://pelican.dev,10,10,SUCCESS,0.85,85,35,0,20,10,0,5,0,0,0,0,0,0
bitcart/bitcart-admin,https://admin.bitcart.ai,1,1,SUCCESS,0.69,69,3,0,1,2,0,0,0,0,0,0,0,0
bidhandhakal/E-Commerce,https://luxeranepal.bidhandhakal.com.np/,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Hazrat-Ali9/PC-Builder,https://pc-builder-lovat.vercel.app,1,1,SUCCESS,0.93,93,2,0,0,1,0,1,0,0,0,0,0,0
nadeemsangrasi/E-comerce-with-Admin-pannel,https://quick-carts.vercel.app,1,1,SUCCESS,0.77,77,5,0,3,1,0,1,0,0,0,0,0,0
faridvatani/crispy-admin-panel,https://crispy-admin-panel.vercel.app,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
fares-ahmedd/roomRover,https://room-rover-bice.vercel.app,1,0,ERROR,,,,,,,,,,,,,,
umarprogrammer19/Furniro-admin-panel,https://api-admin-furniro.vercel.app,1,1,SUCCESS,1,100,0,0,0,0,0,0,0,0,0,0,0,0
cloudreve/cloudreve,https://cloudreve.org,1,1,SUCCESS,0.85,85,3,0,1,1,0,1,0,0,0,0,0,0
antdv-pro/antdv-pro,https://www.antdv-pro.com/,1,1,SUCCESS,0.91,91,2,0,1,1,0,0,0,0,0,0,0,0
Jexactyl/Jexactyl,https://jexpanel.com,1,0,ERROR,,,,,,,,,,,,,,
