Repositorio,Estrelas,Ultimo_Commit,Script_Name,Porta,Package_Manager,Has_Package_Json,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
cybertec-postgresql/pgwatch,503,2025-09-24T12:46:45Z,N/A,N/A,N/A,não,true,false,false,false,false,false,false,Sim
petaki/satellite,43,2025-03-14T17:19:39Z,dev,Porta não identificada,yarn,sim,true,false,false,false,false,false,false,Sim
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,start,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,start,3000 (Next.js padrão),yarn,sim,true,false,false,false,false,false,false,Sim
Touch-N-Stars/Touch-N-Stars,73,2025-09-26T19:09:12Z,serve,8080 (Vue CLI padrão),npm,sim,true,false,false,false,false,false,false,Sim
ozgrozer/jaydon,18,2024-10-03T00:05:10Z,start,1147,yarn,sim,true,false,false,false,true,false,false,Sim
theowni/EPSS-Calculator,14,2024-11-11T23:34:14Z,start,3000 (create-react-app padrão),npm,sim,true,false,false,false,false,false,false,Sim
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,start,5173 (Vite padrão),npm,sim,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,start,3000 (Next.js padrão),yarn,sim,true,false,false,false,false,false,false,Sim
Human-Centered-Optimization-Lab/pymoo-dashboard,4,2025-09-05T18:05:23Z,Sem scripts,N/A,npm,sim,true,false,false,false,false,false,false,Sim
StefanErrorerko/AnalyticalDashboardFlyingEtiquette,25,2025-01-25T16:40:18Z,start,3000 (Next.js padrão),npm,sim,true,false,false,false,false,false,false,Sim
