Repositorio,Homepage,Estrelas,Ultimo_Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
larscom/gitlab-ci-dashboard,https://gitlab-ci-dashboard.larscom.nl,57,2025-09-28T13:33:50Z,true,false,false,false,false,false,false,Sim
Krishna18062005/FactoryFlowAI-NextJS,https://factoryflowai.vercel.app,47,2025-03-23T06:43:06Z,true,false,false,false,false,false,false,Sim
pyrohost/status,https://status.pyro.host,28,2025-01-07T17:31:42Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,https://status-watch.vercel.app,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
MangoLion/aihorde-monitor,https://monitor.fyrean.com,5,2024-12-21T20:58:27Z,true,false,false,false,false,false,false,Sim
machinelearningprodigy/Finance.Pro,https://finance-pro-xi.vercel.app,5,2025-02-22T10:38:01Z,true,false,false,false,false,false,false,Sim
agungdwiprasetyo/task-queue-worker-dashboard,https://worker.agungdp.dev,4,2024-10-22T08:12:52Z,true,false,false,false,false,false,false,Sim
Spiderpig86/spottr,https://spottr.vercel.app,54,2025-07-23T05:46:31Z,true,false,false,false,false,false,false,Sim
mustafacagri/next-stripe-supabase-tailwind-typescript,https://next-stripe-supabase-tailwind-typescript.vercel.app,37,2024-10-28T10:31:17Z,true,false,false,false,false,false,false,Sim
sidsurakanti/finance-analytics-app,https://pbd.vercel.app,22,2025-07-03T04:07:33Z,true,false,false,false,false,false,false,Sim
astrod333/dash,https://astrodashboard.vercel.app,19,2025-04-21T22:40:01Z,true,false,false,false,false,false,false,Sim
sagar2535/e-commerce-admin,https://e-commerce-admin-sagar.vercel.app,13,2024-10-19T03:54:41Z,true,false,false,false,false,false,false,Sim
antdv-pro/antdv-pro,https://www.antdv-pro.com/,822,2025-09-25T01:45:23Z,true,false,false,false,false,false,false,Sim
Jexactyl/Jexactyl,https://jexpanel.com,478,2025-09-16T15:40:56Z,true,false,false,false,false,false,false,Sim
Alanaktion/phproject,https://www.phproject.org,396,2025-08-20T19:41:24Z,true,false,false,false,false,false,false,Sim
mamun724682/Inventory-Management-System-Laravel-SPA,https://inventory.devfaculty.com,247,2024-11-09T13:57:51Z,true,false,false,false,false,false,false,Sim
MusheAbdulHakim/Laravel-Smarthr,https://smarthr.musheabdulhakim.dev,224,2024-12-12T04:12:41Z,true,false,false,false,false,false,false,Sim
duxweb/duxcms,https://dux-next-docs.vercel.app/,192,2024-09-30T03:14:49Z,true,false,false,false,false,false,false,Sim
SMEWebify/WebErpMesv2,http://demo.wem-project.org/,174,2025-09-26T14:36:21Z,true,false,false,false,false,false,false,Sim
chandachewe10/loan-management-system,https://lendfy-development.macroit.org,121,2025-09-06T22:41:18Z,true,false,false,false,false,false,false,Sim
horia141/thrive,https://get-thriving.com,121,2025-09-28T19:16:49Z,true,false,false,false,false,false,false,Sim
ustaxcourt/ef-cms,https://dawson.ustaxcourt.gov/,99,2025-09-26T19:42:31Z,true,false,false,false,false,false,false,Sim
nurRiyad/snacks-management,https://ac-snacks.vercel.app,7,2025-07-11T05:48:44Z,true,false,false,false,false,false,false,Sim
natiq-foundation/control-frontend,https://control.natiq.net,6,2025-02-06T14:24:51Z,true,false,false,false,false,false,false,Sim
TurboServlet/turbonet-polar-frontend,https://turbo.sys-allnet.com,5,2025-06-23T09:32:00Z,true,false,false,false,false,false,false,Sim
robusta-dev/robusta,https://home.robusta.dev/,2870,2025-09-16T12:41:35Z,false,false,true,false,false,false,false,Sim
meceware/wapy.dev,https://www.wapy.dev,442,2025-08-24T10:11:35Z,true,false,false,false,false,false,false,Sim
larscom/gitlab-ci-dashboard,https://gitlab-ci-dashboard.larscom.nl,57,2025-09-28T13:33:50Z,true,false,false,false,false,false,false,Sim
Krishna18062005/FactoryFlowAI-NextJS,https://factoryflowai.vercel.app,47,2025-03-23T06:43:06Z,true,false,false,false,false,false,false,Sim
pyrohost/status,https://status.pyro.host,28,2025-01-07T17:31:42Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,https://status-watch.vercel.app,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
ShadBalti/Age-Calculator-App,https://age-calculator-shadbaltis-projects.vercel.app/,11,2025-05-01T12:41:04Z,false,false,false,false,false,false,true,Sim
Thomaash/me,https://thomaash.github.io/me/,72,2025-09-27T08:06:44Z,true,false,false,false,true,false,false,Sim
ShariarSheikh/deepbazar,https://deepbazar.vercel.app/,10,2025-05-18T05:21:33Z,true,false,false,false,false,false,false,Sim
cmdalbem/ciclomapa,https://ciclomapa.org.br,82,2025-09-02T09:04:07Z,true,false,false,false,false,false,false,Sim
captainAyan/lucafy,https://lucafy.onrender.com/,14,2025-08-14T21:38:07Z,true,false,false,false,false,false,false,Sim
HeimLabs/coinbase-myusdc-frontend,https://coinbase-myusdc-frontend-three.vercel.app,47,2024-10-02T17:13:26Z,true,false,false,false,false,false,false,Sim
amarbalu/Tunes,https://tunesmusiq.herokuapp.com/,19,2025-05-18T05:18:01Z,true,false,false,false,false,false,false,Sim
Guten-Morgen1302/Social-Media-Dashboard,https://social-sync-dashboard.vercel.app,4,2025-03-06T04:52:38Z,true,false,false,false,false,false,false,Sim
waynesutton/todohosted,https://syncengine.dev/,4,2025-06-12T12:40:26Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,https://status-watch.vercel.app,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
MangoLion/aihorde-monitor,https://monitor.fyrean.com,5,2024-12-21T20:58:27Z,true,false,false,false,false,false,false,Sim
machinelearningprodigy/Finance.Pro,https://finance-pro-xi.vercel.app,5,2025-02-22T10:38:01Z,true,false,false,false,false,false,false,Sim
agungdwiprasetyo/task-queue-worker-dashboard,https://worker.agungdp.dev,4,2024-10-22T08:12:52Z,true,false,false,false,false,false,false,Sim
Spiderpig86/spottr,https://spottr.vercel.app,54,2025-07-23T05:46:31Z,true,false,false,false,false,false,false,Sim
astrod333/dash,https://astrodashboard.vercel.app,19,2025-04-21T22:40:01Z,true,false,false,false,false,false,false,Sim
sagar2535/e-commerce-admin,https://e-commerce-admin-sagar.vercel.app,13,2024-10-19T03:54:41Z,true,false,false,false,false,false,false,Sim
