Repositorio,Homepage,URLs_Analisadas,URLs_Sucesso,Status,ErrorsTotal,WarningsTotal,NoticesTotal,ErrorsA,ErrorsAA,ErrorsAAA,ErrorsIndefinido,TaxaSucessoAcessibilidade
Krishna18062005/FactoryFlowAI-NextJS,https://factoryflowai.vercel.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
pyrohost/status,https://status.pyro.host,1,0,ERROR,,,,,,,,
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
sioaeko/StatusWatch,https://status-watch.vercel.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
MangoLion/aihorde-monitor,https://monitor.fyrean.com,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
machinelearningprodigy/Finance.Pro,https://finance-pro-xi.vercel.app,1,1,SUCCESS,6,0,0,0,6,0,0,0.0000
agungdwiprasetyo/task-queue-worker-dashboard,https://worker.agungdp.dev,1,0,ERROR,,,,,,,,
Spiderpig86/spottr,https://spottr.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
mustafacagri/next-stripe-supabase-tailwind-typescript,https://next-stripe-supabase-tailwind-typescript.vercel.app,1,1,SUCCESS,3,0,0,0,3,0,0,0.0000
sidsurakanti/finance-analytics-app,https://pbd.vercel.app,1,1,SUCCESS,8,0,0,0,8,0,0,0.0000
astrod333/dash,https://astrodashboard.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
sagar2535/e-commerce-admin,https://e-commerce-admin-sagar.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
antdv-pro/antdv-pro,https://www.antdv-pro.com/,1,1,SUCCESS,12,0,0,0,12,0,0,0.0000
Jexactyl/Jexactyl,https://jexpanel.com,1,1,SUCCESS,0,0,0,0,0,0,0,1
Alanaktion/phproject,https://www.phproject.org,1,1,SUCCESS,15,0,0,0,15,0,0,0.0000
mamun724682/Inventory-Management-System-Laravel-SPA,https://inventory.devfaculty.com,1,1,SUCCESS,8,0,0,0,8,0,0,0.0000
MusheAbdulHakim/Laravel-Smarthr,https://smarthr.musheabdulhakim.dev,1,0,ERROR,,,,,,,,
duxweb/duxcms,https://dux-next-docs.vercel.app/,1,1,SUCCESS,11,0,0,0,11,0,0,0.0000
SMEWebify/WebErpMesv2,http://demo.wem-project.org/,1,1,SUCCESS,6,0,0,0,6,0,0,0.0000
chandachewe10/loan-management-system,https://lendfy-development.macroit.org,1,1,SUCCESS,19,0,0,0,19,0,0,0.0000
horia141/thrive,https://get-thriving.com,4,4,SUCCESS,28,0,0,0,28,0,0,0.0000
ustaxcourt/ef-cms,https://dawson.ustaxcourt.gov/,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
nurRiyad/snacks-management,https://ac-snacks.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
natiq-foundation/control-frontend,https://control.natiq.net,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
TurboServlet/turbonet-polar-frontend,https://turbo.sys-allnet.com,1,1,SUCCESS,5,0,0,0,5,0,0,0.0000
robusta-dev/robusta,https://home.robusta.dev/,10,10,SUCCESS,217,0,0,0,217,0,0,0.0000
meceware/wapy.dev,https://www.wapy.dev,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
larscom/gitlab-ci-dashboard,https://gitlab-ci-dashboard.larscom.nl,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
Krishna18062005/FactoryFlowAI-NextJS,https://factoryflowai.vercel.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
pyrohost/status,https://status.pyro.host,1,0,ERROR,,,,,,,,
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
sioaeko/StatusWatch,https://status-watch.vercel.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
ShadBalti/Age-Calculator-App,https://age-calculator-shadbaltis-projects.vercel.app/,1,1,SUCCESS,13,0,0,0,13,0,0,0.0000
Thomaash/me,https://thomaash.github.io/me/,1,1,SUCCESS,7,0,0,0,7,0,0,0.0000
ShariarSheikh/deepbazar,https://deepbazar.vercel.app/,1,1,SUCCESS,49,0,0,0,49,0,0,0.0000
cmdalbem/ciclomapa,https://ciclomapa.org.br,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
captainAyan/lucafy,https://lucafy.onrender.com/,1,1,SUCCESS,4,0,0,0,4,0,0,0.0000
HeimLabs/coinbase-myusdc-frontend,https://coinbase-myusdc-frontend-three.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
amarbalu/Tunes,https://tunesmusiq.herokuapp.com/,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
Guten-Morgen1302/Social-Media-Dashboard,https://social-sync-dashboard.vercel.app,1,1,SUCCESS,8,0,0,0,8,0,0,0.0000
waynesutton/todohosted,https://syncengine.dev/,1,1,SUCCESS,0,0,0,0,0,0,0,1
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,https://ficsit-rmd.vercel.app,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
sioaeko/StatusWatch,https://status-watch.vercel.app,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
MangoLion/aihorde-monitor,https://monitor.fyrean.com,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
machinelearningprodigy/Finance.Pro,https://finance-pro-xi.vercel.app,1,1,SUCCESS,6,0,0,0,6,0,0,0.0000
agungdwiprasetyo/task-queue-worker-dashboard,https://worker.agungdp.dev,1,0,ERROR,,,,,,,,
Spiderpig86/spottr,https://spottr.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
astrod333/dash,https://astrodashboard.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
sagar2535/e-commerce-admin,https://e-commerce-admin-sagar.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
