Repositorio,Homepage,URLs_Analisadas,URLs_Sucesso,Status,ErrorsTotal,WarningsTotal,NoticesTotal,ErrorsA,ErrorsAA,ErrorsAAA,ErrorsIndefinido,TaxaSucessoAcessibilidade
duxweb/duxcms,https://dux-next-docs.vercel.app/,1,1,SUCCESS,11,0,0,0,11,0,0,0.0000
SMEWebify/WebErpMesv2,http://demo.wem-project.org/,1,1,SUCCESS,6,0,0,0,6,0,0,0.0000
chandachewe10/loan-management-system,https://lendfy-development.macroit.org,1,1,SUCCESS,19,0,0,0,19,0,0,0.0000
horia141/thrive,https://get-thriving.com,4,4,SUCCESS,28,0,0,0,28,0,0,0.0000
ustaxcourt/ef-cms,https://dawson.ustaxcourt.gov/,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
nurRiyad/snacks-management,https://ac-snacks.vercel.app,1,1,SUCCESS,0,0,0,0,0,0,0,1
natiq-foundation/control-frontend,https://control.natiq.net,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
TurboServlet/turbonet-polar-frontend,https://turbo.sys-allnet.com,1,1,SUCCESS,5,0,0,0,5,0,0,0.0000
robusta-dev/robusta,https://home.robusta.dev/,10,10,SUCCESS,217,0,0,0,217,0,0,0.0000
meceware/wapy.dev,https://www.wapy.dev,1,1,SUCCESS,2,0,0,0,2,0,0,0.0000
larscom/gitlab-ci-dashboard,https://gitlab-ci-dashboard.larscom.nl,1,1,SUCCESS,1,0,0,0,1,0,0,0.0000
